model,layer,hidden_dim,gamma,gamma_raw,effective_rank,dead_pct_init_topk,dead_pct_init_relu,dead_pct_init_centered,dead_pct_init_ln_centered,dead_pct_init_pca,domain
evo,9,4096,0.60840803,0.6302424,1284.6266552368504,0.0,0.0,0.0,0.0,0.0,biology
evo,10,4096,1.0137315,0.79779243,14.363279147835843,53.06396484375,0.06103515625,12.87841796875,5.09033203125,0.0,biology
evo,11,4096,1.6395754,1.8125622,4.076364866292285,87.41455078125,1.59912109375,64.3798828125,68.798828125,0.0,biology
evo,12,4096,6.459606,2.645833,4.5149832877999385,95.69091796875,17.28515625,55.21240234375,51.46484375,0.0,biology
evo,13,4096,4.5283074,3.8668478,3.796609754078553,94.76318359375,10.205078125,58.28857421875,58.447265625,0.0,biology
evo,14,4096,5.5912905,4.124781,2.830712178131515,95.91064453125,18.71337890625,72.998046875,59.55810546875,0.0,biology
evo,15,4096,4.609985,4.105209,2.840358067976669,94.921875,11.65771484375,63.134765625,59.86328125,0.0,biology
evo,16,4096,5.2032833,4.5434237,2.8017463387815065,95.83740234375,18.44482421875,62.87841796875,60.05859375,0.0,biology
evo,17,4096,5.780525,4.910958,2.89086769670603,95.22705078125,13.18359375,60.90087890625,56.884765625,0.0,biology
evo,18,4096,6.370347,5.355398,2.818486577512252,96.20361328125,20.66650390625,62.34130859375,59.63134765625,0.0,biology
evo,19,4096,5.3046293,4.4683585,2.8125948853916256,95.93505859375,19.27490234375,62.34130859375,59.58251953125,0.0,biology
evo,20,4096,5.7088423,4.9445972,2.8485878072776085,95.9716796875,19.22607421875,67.27294921875,58.3251953125,0.0,biology
evo,21,4096,5.5136695,4.837421,2.8482645013343286,96.0693359375,19.10400390625,63.29345703125,61.31591796875,0.0,biology
